level_0,index,name,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review
23104,28717,New place near D line easy to get to Manhattan,51219357537,VERIFIED,Stanley,Brooklyn,Borough Park,40.64212,-73.9973,United States,US,0,strict,Entire home/apt,2014.0,593,$119 ,2.0,27.0,6/16/2019
23105,28718,Luxury Riverview Williamsburg Apartment,51926552387,UNCONFIRMED,Hazel,Brooklyn,Williamsburg,40.71881,-73.96397,United States,US,0,flexible,Private room,2009.0,1051,$210 ,5.0,3.0,8/22/2018
23106,28721,"Spacious Brooklyn apartment with yard, roof access",52365387974,VERIFIED,Faziah,Brooklyn,Bedford-Stuyvesant,40.68754,-73.94183,United States,US,0,strict,Private room,2004.0,756,$151 ,5.0,6.0,11/22/2018
23107,28722,Sleek and Hip Lower East Side 2 Bedroom,63014001493,UNCONFIRMED,Isaac,Manhattan,Lower East Side,40.71765,-73.98452,United States,US,1,moderate,Entire home/apt,2020.0,52,$10 ,1.0,3.0,5/11/2018
23108,28723,Private room with visit to queens #4,59945414936,UNCONFIRMED,Sonia,Queens,Glendale,40.69916,-73.8892,United States,US,1,flexible,Private room,2018.0,108,$22 ,1.0,95.0,7/5/2019
23109,28724,1 Bedroom/ 1 Bath in Bushwick,8895586090,VERIFIED,Ben,Brooklyn,Bushwick,40.69596,-73.92712,United States,US,0,strict,Private room,2009.0,321,$64 ,4.0,1.0,1/2/2018
23110,28725,Soho/Nolita historic and central downtown location,3053175987,VERIFIED,Grace,Manhattan,NoHo,40.72485,-73.99461,United States,US,1,strict,Entire home/apt,2011.0,585,$117 ,3.0,1.0,12/31/2017
23111,28726,Beautiful studio in the East Village,97847960696,VERIFIED,Vanessa,Manhattan,East Village,40.72588,-73.98243,United States,US,0,flexible,Entire home/apt,2019.0,532,$106 ,4.0,4.0,5/6/2019
23112,28727,Brad's Airbnb,68455208790,UNCONFIRMED,Brad,Brooklyn,Bushwick,40.68545,-73.91237,United States,US,1,flexible,Private room,2020.0,426,$85 ,2.0,4.0,1/2/2018
23113,28729,AWESOME PRIVATE FAMILY HOUSE  CLOSE TO MANHATTAN,3897621609,VERIFIED,Ahmed,Queens,Corona,40.74725,-73.85486,United States,US,0,strict,Entire home/apt,2012.0,497,$99 ,3.0,10.0,6/9/2019
23114,28730,"10 min prospect park , restaurant , s. activities",66799000648,VERIFIED,Jean,Brooklyn,Flatbush,40.65224,-73.95724,United States,US,1,flexible,Private room,2003.0,744,$149 ,2.0,23.0,5/13/2019
23115,28731,Sun-Drenched Luxury Loft with Private Roof Deck,2934316126,VERIFIED,David,Brooklyn,Williamsburg,40.70929,-73.9477,United States,US,0,strict,Entire home/apt,2008.0,203,$41 ,3.0,6.0,8/19/2018
23116,28732,"Large, sunny room in the heart of Williamsburg!",53262587388,VERIFIED,Nicole,Brooklyn,Williamsburg,40.70902,-73.96059,United States,US,1,flexible,Private room,2016.0,54,$11 ,4.0,1.0,12/31/2018
23117,28733,Patio Perfection,36319410089,VERIFIED,Kaitlin,Manhattan,Upper West Side,40.78309,-73.97831,United States,US,1,flexible,Private room,2010.0,195,$39 ,1.0,1.0,1/1/2018
23118,28735,Private spacious bedroom 10min from Manhattan!!,23419557542,VERIFIED,Laureta,Queens,Long Island City,40.75901,-73.93404,United States,US,1,strict,Private room,2020.0,364,$73 ,1.0,32.0,6/23/2019
23119,28736,Spacious sanctuary + private bath in hip Bedstuy,12483820097,UNCONFIRMED,Olya,Brooklyn,Bedford-Stuyvesant,40.6834,-73.94209,United States,US,1,strict,Private room,2017.0,103,$21 ,1.0,26.0,11/25/2018
23120,28737,Great UES Private Apartment,8196307988,VERIFIED,Richie,Manhattan,Upper East Side,40.77585,-73.95337,United States,US,0,flexible,Entire home/apt,2007.0,1023,$205 ,2.0,2.0,4/30/2018
23121,28741,Cinema Studio on Duplex Apt.,68944493706,VERIFIED,O. Xavier,Brooklyn,Bushwick,40.69787,-73.92703,United States,US,1,moderate,Private room,2015.0,964,$193 ,1.0,59.0,7/5/2019
23122,28742,Quintessential East Village Apt,23912195109,VERIFIED,Courtney,Manhattan,East Village,40.72711,-73.97727,United States,US,0,flexible,Entire home/apt,2015.0,1147,$229 ,5.0,1.0,3/18/2018
23123,28744,Sunny and Cozy Brooklyn Apartment,48581785975,UNCONFIRMED,Farideh,Brooklyn,Bushwick,40.69697,-73.93207,United States,US,1,flexible,Entire home/apt,2004.0,710,$142 ,2.0,4.0,6/30/2019
23124,28747,UNIQUE 1 BED ROOM in FLATIRON/NOMAD/GRAMERCY,36272066693,UNCONFIRMED,Colette,Manhattan,Midtown,40.74238,-73.98439,United States,US,1,moderate,Entire home/apt,2013.0,445,$89 ,2.0,1.0,1/2/2018
23125,28748,Spacious Studio In Queens,23594503262,UNCONFIRMED,Gary,Queens,Rego Park,40.71663,-73.85823,United States,US,1,strict,Entire home/apt,2014.0,206,$41 ,1.0,110.0,6/24/2019
23126,28749,"Balcony Duplex and Loft, Steps from the Subway",94832794716,UNCONFIRMED,Brandon,Brooklyn,Bushwick,40.69754,-73.9348,United States,US,1,flexible,Private room,2009.0,1056,$211 ,21.0,2.0,9/30/2018
23127,28750,Furnished room in a 5 br apartment,29169293271,UNCONFIRMED,Saarthak,Manhattan,Harlem,40.83044,-73.94839,United States,US,0,moderate,Private room,2007.0,598,$120 ,3.0,3.0,1/1/2018
23128,28751,"Wonderful & Cozy Rm in Uptown Apt, Next to 1 Train",18898241753,UNCONFIRMED,Dee,Manhattan,Harlem,40.82245,-73.95404,United States,US,1,strict,Private room,2018.0,590,$118 ,14.0,2.0,4/13/2018
23129,28752,A birdcage on the Upper West Side,54765706170,VERIFIED,Aissa,Manhattan,Upper West Side,40.79641,-73.97088,United States,US,1,strict,Entire home/apt,2016.0,300,$60 ,3.0,5.0,2/18/2018
23130,28754,Brooklyn City Abode,61832496803,VERIFIED,Miller,Brooklyn,East Flatbush,40.63338,-73.94753,United States,US,1,flexible,Private room,2004.0,703,$141 ,2.0,7.0,12/6/2018
23131,28756,RIVER VIEWS - PRIVATE BALCONY **Gym/Pool/Rooftop**,15602037263,UNCONFIRMED,Cecile,Manhattan,Midtown,40.7652,-73.98174,United States,US,0,strict,Entire home/apt,2017.0,936,$187 ,30.0,1.0,8/19/2018
23132,28758,3-BR duplex in Bed-Stuy Brownstone,40695100759,UNCONFIRMED,Michael,Brooklyn,Bedford-Stuyvesant,40.68376,-73.95109,United States,US,0,strict,Entire home/apt,2010.0,392,$78 ,3.0,41.0,6/25/2019
23133,28759,Bed-Stuy IS FLY!! 1-8 guests,95507159775,VERIFIED,J C,Brooklyn,Bedford-Stuyvesant,40.69318,-73.95418,United States,US,0,flexible,Private room,2013.0,549,$110 ,1.0,24.0,4/25/2019
23134,28760,Modern 2-person room near Subway in Bushwick,753337841,UNCONFIRMED,Sergii,Brooklyn,Bushwick,40.69476,-73.90545,United States,US,0,strict,Shared room,2006.0,928,$186 ,30.0,3.0,8/31/2018
23135,28761,Private cozy room in Bushwick / full-size bed,57931369418,UNCONFIRMED,Sergii,Brooklyn,Bushwick,40.69295,-73.90851,United States,US,1,moderate,Private room,2006.0,915,$183 ,30.0,4.0,6/23/2018
23136,28763,Beautiful & Modern in the Heart of East Village,12123718225,VERIFIED,Bruna,Manhattan,East Village,40.72652,-73.98966,United States,US,1,moderate,Entire home/apt,2006.0,1017,$203 ,2.0,29.0,6/30/2019
23137,28764,Large Bright FULL 1BD in the Heart of BUSHWICK !,28622500490,VERIFIED,Amira,Brooklyn,Bushwick,40.70108,-73.91409,United States,US,1,strict,Entire home/apt,2010.0,583,$117 ,3.0,4.0,10/9/2018
23138,28765,IL TUO APPARTAMENTO PERSONALE IN NEW YORK CITY!!,41946645588,UNCONFIRMED,Rita,Manhattan,Harlem,40.81462,-73.95047,United States,US,1,flexible,Entire home/apt,2019.0,548,$110 ,6.0,2.0,3/31/2019
23139,28767,Sunny Williamsburg Style in Prime Location ❤️,65925899801,UNCONFIRMED,Keren & Mikey,Brooklyn,Williamsburg,40.71672,-73.95819,United States,US,1,moderate,Entire home/apt,2016.0,869,$174 ,2.0,95.0,7/6/2019
23140,28768,Hell's Kitchen Apartment,98402680950,UNCONFIRMED,Chris,Manhattan,Hell's Kitchen,40.76285,-73.98728,United States,US,1,moderate,Private room,2018.0,386,$77 ,1.0,2.0,12/28/2017
23141,28769,"Manhattan 1BD in 2BD near ESB, UN, NYU w/roof deck",97267833702,VERIFIED,Hugh,Manhattan,Murray Hill,40.74623,-73.97404,United States,US,1,moderate,Private room,2022.0,653,$131 ,2.0,75.0,6/13/2019
23142,28770,Spacious private bedroom in Brooklyn New York,80018023409,VERIFIED,Yu,Brooklyn,Bushwick,40.70162,-73.91297,United States,US,1,flexible,Private room,2010.0,190,$38 ,5.0,1.0,1/2/2018
23143,28771,Homely Queens Home,70104706997,UNCONFIRMED,Victor,Queens,Ozone Park,40.68562,-73.83498,United States,US,1,flexible,Entire home/apt,2003.0,865,$173 ,7.0,3.0,6/15/2019
23144,28772,Upper West Side Luxury! See fall in Central Park!,26813916136,UNCONFIRMED,Andrew,Manhattan,Upper West Side,40.79492,-73.96816,United States,US,1,moderate,Entire home/apt,2020.0,303,$61 ,3.0,10.0,10/18/2018
23145,28773,A suite like room with a private bathroom.,53671868667,UNCONFIRMED,Sam,Brooklyn,Borough Park,40.64495,-73.99615,United States,US,1,moderate,Private room,2022.0,1037,$207 ,7.0,2.0,1/6/2019
23146,28774,Private Room in Nice Apt. Close to Manhattan. WIFI,75655506147,UNCONFIRMED,Gabriela,Queens,Astoria,40.77418,-73.93545,United States,US,1,flexible,Private room,2005.0,1192,$238 ,1.0,62.0,6/18/2019
23147,28775,Spacious cozy place in heart of nolita,65677783155,UNCONFIRMED,Julian,Manhattan,Nolita,40.72184,-73.99452,United States,US,0,strict,Private room,2009.0,996,$199 ,14.0,9.0,6/26/2018
23148,28776,"Duplex in Williamsburg with Terrace, 4 Bed 2 Bath",80728783815,UNCONFIRMED,Emily & Joseph,Brooklyn,Williamsburg,40.71053,-73.96261,United States,US,0,strict,Entire home/apt,2007.0,361,$72 ,2.0,14.0,6/16/2019
23149,28777,Entire private lower unit of owner occupied duplex,66851969661,UNCONFIRMED,Patricia,Brooklyn,Bushwick,40.69436,-73.92261,United States,US,0,flexible,Entire home/apt,2003.0,951,$190 ,3.0,21.0,6/3/2019
23150,28778,Quiet cozy room in Williamsburg,87733111533,UNCONFIRMED,Nebojsa,Brooklyn,Williamsburg,40.7063,-73.94439,United States,US,1,moderate,Private room,2009.0,817,$163 ,2.0,42.0,7/7/2019
23151,28779,"Large, Bright, Open 1-BR Oasis in Gramercy Park",2397838230,UNCONFIRMED,Adam,Manhattan,Flatiron District,40.73962,-73.98492,United States,US,0,moderate,Entire home/apt,2005.0,932,$186 ,5.0,7.0,3/29/2019
23152,28780,318 58 st brooklyn ny 11220,35249093577,VERIFIED,Mercedes,Brooklyn,Sunset Park,40.64351,-74.01848,United States,US,1,flexible,Private room,2015.0,92,$18 ,2.0,1.0,3/17/2018
23153,28781,☆Huge Private Room Near Park & Train in MANHATTAN!,23407036842,UNCONFIRMED,Michael,Manhattan,Harlem,40.82816,-73.94957,United States,US,1,moderate,Private room,2019.0,611,$122 ,2.0,47.0,5/16/2019
23154,28782,(☆☆☆☆☆) New ultra-modern 1 bedroom apartment,31896120975,UNCONFIRMED,Cindy,Queens,Astoria,40.76234,-73.91991,United States,US,1,strict,Entire home/apt,2013.0,930,$186 ,1.0,75.0,6/30/2019
23155,28783,Spacious Brooklyn loft in Clinton Hill,9158815365,UNCONFIRMED,Devin,Brooklyn,Bedford-Stuyvesant,40.69216,-73.96011,United States,US,0,strict,Private room,2005.0,1159,$232 ,2.0,17.0,6/25/2019
23156,28784,•HEART OF WILLIAMSBURG APARTMENT COZY&PRIVATE•,59432673569,UNCONFIRMED,Atthaphon,Brooklyn,Williamsburg,40.71917,-73.96079,United States,US,1,strict,Private room,2006.0,415,$83 ,2.0,68.0,7/3/2019
23157,28785,•COZY APARTMENT 5 MINS TO MANHATTAN•,90794120502,UNCONFIRMED,Atthaphon,Brooklyn,Williamsburg,40.72092,-73.96122,United States,US,0,strict,Private room,2019.0,548,$110 ,2.0,31.0,7/1/2019
23158,28786,Spacious 3BR/3BA in the East Village,95666275718,VERIFIED,Ryder,Manhattan,East Village,40.72625,-73.97822,United States,US,0,moderate,Entire home/apt,2016.0,1122,$224 ,2.0,2.0,12/30/2017
23159,28788,Stylish & Spacious 1BD in Central Harlem!,81750501214,VERIFIED,Natasha,Manhattan,Harlem,40.81537,-73.94067,United States,US,1,moderate,Entire home/apt,2019.0,696,$139 ,3.0,21.0,6/10/2019
23160,28789,Cozy one bedroom apartment perfect for couples,5061967088,UNCONFIRMED,Bradley,Brooklyn,Flatbush,40.63436,-73.96126,United States,US,0,flexible,Entire home/apt,2004.0,763,$153 ,2.0,13.0,4/7/2019
23161,28794,Cozy 1BR + Sofa in Quiet Part of Popular LES,36770991962,VERIFIED,Darwin,Manhattan,Lower East Side,40.71757,-73.98394,United States,US,1,flexible,Private room,2004.0,1006,$201 ,1.0,2.0,1/2/2018
23162,28795,Newly Renovated 1BR in SoHo/Nolita,87074050947,UNCONFIRMED,James,Manhattan,Nolita,40.72344,-73.99592,United States,US,0,flexible,Entire home/apt,2003.0,234,$47 ,7.0,1.0,6/28/2018
23163,28796,Room in Central Harlem for the holidays,71944145477,UNCONFIRMED,Axelle,Manhattan,Harlem,40.80961,-73.94588,United States,US,0,strict,Private room,2013.0,1039,$208 ,2.0,4.0,6/26/2019
23164,28797,"Safe, Overnight Crash Pad Near JFK, LGA and NYC",13464201405,UNCONFIRMED,Deborah,Queens,Jamaica,40.68411,-73.79688,United States,US,0,flexible,Shared room,2019.0,187,$37 ,1.0,26.0,6/10/2019
23165,28798,Modern Room in Coliving/15min walk to Williamsburg,65278467047,VERIFIED,Sergii,Brooklyn,Bedford-Stuyvesant,40.69676,-73.93959,United States,US,0,strict,Shared room,2018.0,213,$43 ,30.0,4.0,8/16/2018
23166,28801,Newly renovated 1br in the heart of NY,13116513937,VERIFIED,Carlos,Manhattan,Flatiron District,40.74212,-73.99042,United States,US,1,strict,Entire home/apt,2009.0,817,$163 ,4.0,3.0,5/22/2019
23167,28802,Private Room B In Prime Location,64622218281,VERIFIED,Anna,Manhattan,Chelsea,40.74729,-73.98957,United States,US,0,flexible,Private room,2008.0,911,$182 ,1.0,162.0,6/23/2019
23168,28804,Private Room C In Prime Location,28269839162,UNCONFIRMED,Anna,Manhattan,Midtown,40.74535,-73.99023,United States,US,0,flexible,Private room,2006.0,828,$166 ,1.0,140.0,6/23/2019
23169,28805,Whole Apartment Near Prospect Park,29644819545,UNCONFIRMED,Diane,Brooklyn,Prospect-Lefferts Gardens,40.65896,-73.96104,United States,US,0,flexible,Entire home/apt,2021.0,206,$41 ,2.0,37.0,6/11/2019
23170,28806,Huge cozy artist haven in heart of Hamilton Hts.,8726766327,UNCONFIRMED,Sean,Manhattan,Harlem,40.83029,-73.94962,United States,US,0,flexible,Private room,2015.0,50,$10 ,2.0,1.0,1/2/2018
23171,28807,"Luxury Private Bed, Bath & Desk in Williamsburg",57018509024,UNCONFIRMED,Augustine,Brooklyn,Williamsburg,40.70755,-73.95314,United States,US,1,strict,Private room,2007.0,674,$135 ,2.0,3.0,10/14/2018
23172,28808,Full floor of a beautiful Bedstuy duplex,39239371161,UNCONFIRMED,Gabriel,Brooklyn,Bedford-Stuyvesant,40.68885,-73.94349,United States,US,0,strict,Private room,2009.0,965,$193 ,1.0,4.0,5/16/2018
23173,28810,Sunny Park Slope Studio,40237675880,UNCONFIRMED,Grey,Brooklyn,Park Slope,40.67245,-73.97341,United States,US,1,flexible,Entire home/apt,2011.0,911,$182 ,60.0,1.0,10/17/2018
23174,28811,Ft Greene Studio,34961321913,UNCONFIRMED,Heather,Brooklyn,Fort Greene,40.69387,-73.97316,United States,US,1,moderate,Entire home/apt,2020.0,838,$168 ,4.0,53.0,7/2/2019
23175,28815,••Rare Find! Modern Room Near Subway & JFK••,77945989730,UNCONFIRMED,Yola,Queens,Woodhaven,40.69003,-73.8678,United States,US,0,moderate,Private room,2005.0,1174,$235 ,3.0,14.0,1/14/2019
23176,28817,Amazing bedroom in Williamsburg!!,79543505512,VERIFIED,Ben,Brooklyn,Williamsburg,40.7087,-73.94519,United States,US,0,flexible,Private room,2019.0,1027,$205 ,3.0,3.0,7/23/2018
23177,28819,Cozy East Village Home Away From Home,27122981906,VERIFIED,Alexandra,Manhattan,East Village,40.72188,-73.97957,United States,US,0,strict,Entire home/apt,2009.0,472,$94 ,4.0,7.0,10/25/2018
23178,28820,Cozy Bushwick Loft Apartment,94462082532,VERIFIED,Imani,Brooklyn,Bushwick,40.69178,-73.91243,United States,US,1,strict,Private room,2012.0,764,$153 ,3.0,7.0,3/12/2018
23179,28821,Mid-Mod 1 Bedroom Washington Heights NYC,54865592473,VERIFIED,Michael,Manhattan,Washington Heights,40.84855,-73.93704,United States,US,1,flexible,Entire home/apt,2020.0,609,$122 ,2.0,1.0,12/21/2017
23180,28824,Cozy One Bed In The Middle of Manhattan,57869120251,UNCONFIRMED,Stella,Manhattan,Hell's Kitchen,40.75827,-73.99544,United States,US,0,moderate,Entire home/apt,2014.0,703,$141 ,4.0,2.0,12/31/2017
23181,28825,Beautiful cozy room close to Manhattan,36896395423,UNCONFIRMED,Andrey,Queens,Sunnyside,40.73679,-73.92561,United States,US,1,moderate,Private room,2007.0,221,$44 ,2.0,2.0,5/14/2018
23182,28826,Very big room with private bathroom/Brooklyn,5177184816,VERIFIED,Camila,Brooklyn,Crown Heights,40.6763,-73.94107,United States,US,1,flexible,Private room,2003.0,361,$72 ,6.0,3.0,8/31/2018
23183,28827,"Cute, Comfy & Cozy Room in Brooklyn",24002962163,VERIFIED,Alicia,Brooklyn,Bedford-Stuyvesant,40.69338,-73.93125,United States,US,0,moderate,Private room,2022.0,362,$72 ,4.0,3.0,3/24/2018
23184,28828,Brownstone Apartment near Manhattan,78672899388,UNCONFIRMED,Adetoro,Brooklyn,Bedford-Stuyvesant,40.68373,-73.93056,United States,US,0,strict,Entire home/apt,2021.0,495,$99 ,2.0,2.0,5/5/2018
23185,28830,Charming 1 bedroom in West Village,86607608123,VERIFIED,Benny,Manhattan,West Village,40.73612,-74.00828,United States,US,0,strict,Entire home/apt,2003.0,931,$186 ,3.0,5.0,1/1/2019
23186,28831,Huge one bed room apartment in Manhattan.,19672735912,VERIFIED,Cristian,Manhattan,East Harlem,40.80039,-73.9361,United States,US,0,moderate,Entire home/apt,2012.0,160,$32 ,3.0,1.0,1/1/2018
23187,28832,Cozy and Quaint 1 Bedroom in Soho!,12026419533,UNCONFIRMED,Ben,Manhattan,SoHo,40.72594,-74.00136,United States,US,0,flexible,Private room,2004.0,384,$77 ,4.0,1.0,3/28/2018
23188,28833,Bed-Stuy (20mins to Manhattan/Williamsburg/Queens),70421173866,UNCONFIRMED,Finnían,Brooklyn,Bedford-Stuyvesant,40.6861,-73.95161,United States,US,0,flexible,Private room,2016.0,139,$28 ,4.0,2.0,1/1/2018
23189,28834,Authentic and Open Tribeca Loft,81186912008,UNCONFIRMED,Hugh,Manhattan,Tribeca,40.71813,-74.00538,United States,US,1,strict,Entire home/apt,2020.0,1003,$201 ,1.0,35.0,6/25/2019
23190,28835,Williamsburg Penthouse with 3 Private Terraces!,14097143301,UNCONFIRMED,Andrei,Brooklyn,Williamsburg,40.71815,-73.94189,United States,US,0,strict,Entire home/apt,2014.0,865,$173 ,2.0,46.0,7/1/2019
23191,28836,Perfect Stay to see all of Manhattan Sites,182476890,UNCONFIRMED,Lawrence,Queens,Long Island City,40.74397,-73.95667,United States,US,1,strict,Private room,2016.0,819,$164 ,2.0,1.0,1/2/2018
23192,28837,"Cozy, convenient Manhattan Apartment in the LES",36474523774,VERIFIED,Calvin,Manhattan,Lower East Side,40.71495,-73.98589,United States,US,1,strict,Private room,2009.0,377,$75 ,1.0,8.0,1/9/2018
23193,28838,HUGE 1 bedroom in Gramercy,17443364700,VERIFIED,Shawn,Manhattan,Kips Bay,40.73836,-73.98035,United States,US,1,strict,Entire home/apt,2014.0,405,$81 ,3.0,3.0,4/1/2018
23194,28839,Beautiful room in Brooklyn,7922802397,UNCONFIRMED,Susana,Brooklyn,Crown Heights,40.66452,-73.9337,United States,US,1,strict,Private room,2012.0,842,$168 ,30.0,1.0,9/2/2018
23195,28840,Shared room in one minute walk to the M train!!,28846492309,UNCONFIRMED,Valentin,Queens,Ridgewood,40.70117,-73.90666,United States,US,1,moderate,Shared room,2012.0,645,$129 ,30.0,1.0,12/22/2017
23196,28841,Gorgeous spacious renovated 1Bed in Hellskitchen!,44322594962,VERIFIED,Dina,Manhattan,Theater District,40.75957,-73.98798,United States,US,1,strict,Entire home/apt,2021.0,351,$70 ,2.0,18.0,5/13/2019
23197,28842,Awesome designed shared room in beautiful Coliving,31146083698,UNCONFIRMED,Sergii,Brooklyn,Bushwick,40.69329,-73.91328,United States,US,0,moderate,Shared room,2015.0,456,$91 ,30.0,3.0,7/14/2018
23198,28843,Gorgeous Queen Luxury Bedroom near J subway,83273448583,VERIFIED,Timothy,Brooklyn,Bushwick,40.68608,-73.91534,United States,US,0,flexible,Private room,2018.0,210,$42 ,5.0,23.0,5/26/2019
23199,28844,Midtown apt perfect for a New Years stay!,62489861709,VERIFIED,Salma,Manhattan,Midtown,40.74788,-73.98376,United States,US,0,flexible,Private room,2018.0,516,$103 ,2.0,2.0,1/2/2018
23200,28845,Elegant 2 Bedroom Cobble Hill apartment,16556301265,UNCONFIRMED,Marie,Brooklyn,Cobble Hill,40.68675,-73.9995,United States,US,0,flexible,Entire home/apt,2009.0,1001,$200 ,1.0,67.0,6/20/2019
23201,28848,Holiday sublet in beautiful bed stuy!,18861264016,UNCONFIRMED,Andrew,Brooklyn,Bedford-Stuyvesant,40.68029,-73.94482,United States,US,0,strict,Private room,2003.0,704,$141 ,7.0,1.0,12/14/2017
23202,28849,HUGE room in prime BUSHWICK,68639511400,VERIFIED,Dan,Brooklyn,Bushwick,40.69967,-73.9299,United States,US,1,moderate,Private room,2020.0,383,$77 ,3.0,16.0,5/19/2019
23203,28850,Quarto Bronx (NY),91988999196,VERIFIED,Alvina Da Silva,Bronx,Fordham,40.86674,-73.89284,United States,US,1,flexible,Private room,2010.0,157,$31 ,2.0,2.0,2/26/2018
23204,28851,RENOVATED 2 BEDROOM APT NEAR CENTRAL PARK WEST,5023796190,UNCONFIRMED,Inna,Manhattan,Upper West Side,40.79638,-73.96332,United States,US,1,moderate,Entire home/apt,2006.0,214,$43 ,30.0,1.0,8/4/2018
23205,28852,Spacious and sunny 2BDR Apt in Queens w/ balcony,28412894909,VERIFIED,Sylvain,Queens,Rego Park,40.73269,-73.8584,United States,US,0,strict,Entire home/apt,2010.0,865,$173 ,4.0,6.0,9/23/2018
23206,28853,Cozy East Village Studio,49053257335,UNCONFIRMED,Megan,Manhattan,East Village,40.72712,-73.98233,United States,US,0,strict,Entire home/apt,2022.0,267,$53 ,2.0,14.0,6/9/2019
23207,28855,FiDi Beautiful & Spacious Private Room & Bathroom,21062842675,UNCONFIRMED,Luis,Manhattan,Financial District,40.71086,-74.00464,United States,US,1,flexible,Private room,2013.0,343,$69 ,3.0,4.0,10/31/2018
23208,28856,Cozy place next to Times Square,12403117795,VERIFIED,Anda,Manhattan,Hell's Kitchen,40.7638,-73.9944,United States,US,0,flexible,Private room,2009.0,309,$62 ,1.0,28.0,5/20/2019
23209,28857,Master Suite in Prospect Heights,18381344117,UNCONFIRMED,Henry,Brooklyn,Prospect Heights,40.6776,-73.96638,United States,US,0,strict,Private room,2004.0,689,$138 ,3.0,1.0,12/27/2017
23210,28858,Cozy apartment in Central Park North,22944469903,VERIFIED,Hafou,Manhattan,East Harlem,40.79598,-73.94838,United States,US,0,strict,Entire home/apt,2003.0,559,$112 ,2.0,56.0,6/12/2019
23211,28859,SPECTACULAR SOHO GREAT ROOM LOFT 6000sq feet,87686389642,UNCONFIRMED,Stephanie,Manhattan,SoHo,40.72605,-74.00572,United States,US,0,strict,Entire home/apt,2005.0,323,$65 ,7.0,1.0,6/30/2019
23212,28860,Luxury condo with King Bed & 4K TV,20566242318,UNCONFIRMED,Panos,Manhattan,Financial District,40.70333,-74.00959,United States,US,1,flexible,Entire home/apt,2008.0,683,$137 ,10.0,10.0,12/2/2018
23213,28862,Williamsburg lofted bedroom,14508922347,UNCONFIRMED,Timothy,Brooklyn,Williamsburg,40.71291,-73.95959,United States,US,1,moderate,Private room,2008.0,726,$145 ,3.0,3.0,2/13/2018
23214,28863,Prime Upper East 2BR~Best Value,43643623045,UNCONFIRMED,Izi,Manhattan,Upper East Side,40.77383,-73.94903,United States,US,1,moderate,Entire home/apt,2011.0,879,$176 ,60.0,5.0,9/30/2018
23215,28864,Spacious Private Room by the East River,66064758080,VERIFIED,Joanna,Manhattan,East Harlem,40.78714,-73.94114,United States,US,1,flexible,Private room,2009.0,1100,$220 ,2.0,6.0,6/15/2018
23216,28865,2Br~Prime Upper east~Central park~10 Min,11641320361,VERIFIED,Izi,Manhattan,Upper East Side,40.77466,-73.94748,United States,US,1,moderate,Entire home/apt,2012.0,142,$28 ,30.0,5.0,6/1/2019
23217,28866,"Quiet, newly renovated 2 Bedroom, Great Location",70885142010,UNCONFIRMED,Marco,Manhattan,Harlem,40.82025,-73.95206,United States,US,0,moderate,Entire home/apt,2015.0,932,$186 ,3.0,5.0,9/3/2018
23218,28867,Home away from home in Upper Manhattan,43004020325,VERIFIED,Andrew,Manhattan,Washington Heights,40.85521,-73.93528,United States,US,0,moderate,Private room,2020.0,791,$158 ,4.0,21.0,6/10/2019
23219,28868,Huge 3 bedroom in Manhattan,31220331339,UNCONFIRMED,Alyson,Manhattan,Hell's Kitchen,40.76405,-73.98877,United States,US,1,flexible,Entire home/apt,2021.0,298,$60 ,7.0,1.0,3/26/2018
23220,28870,Huge Bedroom with Private Entrance and Yard Access,22821761190,VERIFIED,Bobby,Brooklyn,Williamsburg,40.71227,-73.93683,United States,US,0,moderate,Private room,2015.0,782,$156 ,2.0,4.0,3/18/2018
23221,28871,Bronx home with rooftop and laundry,91355742332,VERIFIED,Samantha,Bronx,Port Morris,40.80726,-73.92999,United States,US,1,strict,Private room,2016.0,89,$18 ,2.0,4.0,1/2/2018
23222,28872,Cozy one bedroom,46838857399,VERIFIED,Sophia,Brooklyn,Bedford-Stuyvesant,40.67933,-73.94472,United States,US,1,moderate,Entire home/apt,2016.0,1123,$225 ,30.0,4.0,5/23/2019
23223,28873,Bright beautiful modern large and secure.,321572762,UNCONFIRMED,Edward,Brooklyn,Bushwick,40.69367,-73.90756,United States,US,1,flexible,Entire home/apt,2011.0,1174,$235 ,2.0,41.0,4/14/2019
23224,28874,City Living with a Home Town Feel.,93716618412,VERIFIED,Darlene,Manhattan,East Harlem,40.80279,-73.9445,United States,US,1,strict,Private room,2016.0,895,$179 ,1.0,13.0,7/2/2019
23225,28875,Modern and Cozy Large Studio in Brooklyn,8630859679,VERIFIED,Katarina,Brooklyn,Fort Greene,40.68855,-73.97883,United States,US,0,strict,Entire home/apt,2017.0,119,$24 ,5.0,6.0,1/1/2019
23226,28877,Cosy room in a cool Williamsburg Apt,53168768433,UNCONFIRMED,Jeremy,Brooklyn,Williamsburg,40.71353,-73.96216,United States,US,1,moderate,Private room,2007.0,817,$163 ,2.0,1.0,1/3/2018
23227,28878,located 15 minutes away from Time Square,75343441587,VERIFIED,Devito,Manhattan,Harlem,40.82592,-73.93911,United States,US,0,flexible,Private room,2009.0,1004,$201 ,2.0,15.0,7/2/2019
